birthday,birthplace,highest_rated,lowest_rated,name
Birthday: Not Available,Birthplace: Not Available,0,0,Christopher Garr
Birthday: Not Available,Birthplace: Not Available,0,0,Svitlana Asaulenko
Birthday: Not Available,Birthplace: Not Available,0,0,0
Birthday: Not Available,Birthplace: Not Available,0,0,Yasuo Maeda
Birthday: Not Available,Birthplace: Not Available,0,0,Joseph Haggerty
"Birthday: May 22, 1981","Birthplace: Omsk, USSR",0,0,Yulia Mel'nikova
Birthday: Not Available,Birthplace: Not Available,0,0,Rudy Galoppini
Birthday: Not Available,Birthplace: Not Available,0,0,Kate Doughan
Birthday: Not Available,Birthplace: Not Available,0,0,Kim Dong-rae
Birthday: Not Available,Birthplace: Not Available,0,0,Naomi Silver-Vézina
Birthday: Not Available,Birthplace: Not Available,0,0,Alexandru Teodorescu
"Birthday: Dec 16, 1976","Birthplace: Monroe, North Carolina, USA",0,0,Calvin Richardson
Birthday: Not Available,Birthplace: Not Available,0,0,Haris Hue
Birthday: Not Available,Birthplace: Not Available,0,0,Claude Gutman
Birthday: Not Available,Birthplace: Not Available,0,0,Kang Soo-yen
Birthday: Not Available,Birthplace: Not Available,0,0,0
Birthday: Not Available,Birthplace: Not Available,0,0,0
Birthday: Not Available,Birthplace: Not Available,0,0,Karl Heinz Reimann
Birthday: Not Available,Birthplace: Not Available,0,0,Rick Blue
Birthday: Not Available,Birthplace: Not Available,0,0,0
